mergeable,commits,additions,deletions,changed_files,open_issues_count,watchers_count,forks_count,has_discussions,has_wiki,has_projects,stargazers_count,title_size,merged,language
1,8,462,0,6,244,354,354,1,0,1,354,55,1,python
1,8,1801,182,15,0,0,0,0,1,1,0,12,1,javascript
1,9,57,43,3,0,0,0,0,1,1,0,31,1,typescript
1,9,101,16,4,22,20238,20238,1,1,1,20238,53,1,python
1,10,44,36,10,0,0,0,0,1,1,0,33,1,javascript
1,11,2339,861,9,4,0,0,0,1,1,0,14,1,css
1,12,9,9,9,0,0,0,0,0,1,0,35,1,python
1,12,290,117,42,0,0,0,0,0,1,0,35,1,rust
1,12,592,20,5,47,759,759,0,0,1,759,50,1,typescript
1,12,3201,29619,109,0,0,0,0,0,1,0,33,1,c
1,12,79418,368,313,4,7,7,0,1,1,7,7,0,python
1,19,449,24,31,0,0,0,0,1,1,0,11,1,c++
1,20,244,51,17,1,0,0,0,1,1,0,17,0,java
1,24,485,295,19,9,1,1,0,1,1,1,30,0,html
1,29,2040,0,24,1,1,1,0,1,1,1,19,0,java
1,32,7672,7716,112,18,3,3,0,1,1,3,13,1,swift
1,66,716,9,11,225,2867,2867,1,0,0,2867,61,0,rust
1,153,19422,18547,352,15,0,0,0,1,1,0,22,0,html
1,1,0,0,0,0,0,0,0,1,1,0,57,1,html
1,1,0,14,2,52,116,116,0,1,1,116,21,1,ocaml
1,1,0,30,3,1,0,0,0,1,1,0,27,1,html
1,1,1,0,1,0,0,0,0,1,1,0,11,0,javascript
1,1,1,0,1,72,5,5,0,0,1,5,36,1,shell
1,1,1,0,3,0,0,0,0,1,1,0,27,1,html
1,1,1,1,1,0,0,0,0,1,1,0,27,1,html
1,1,1,1,1,0,0,0,0,1,1,0,27,1,javascript
1,1,1,1,1,0,1,1,0,1,1,1,28,1,html
1,1,1,1,1,1,1,1,0,1,1,1,5,1,ruby
1,1,1,1,1,2,3,3,1,1,1,3,55,1,javascript
1,1,1,1,1,6,0,0,0,1,1,0,47,0,php
1,1,1,1,1,14,41,41,0,0,0,41,40,1,rust
1,1,1,1,1,17,18,18,1,1,1,18,47,1,hcl
1,1,1,1,1,18,190,190,1,1,1,190,31,1,python
1,1,1,1,1,33,0,0,0,1,1,0,24,1,php
1,1,1,1,1,46,8,8,1,1,0,8,54,1,java
1,1,1,1,1,405,1048,1048,1,0,1,1048,34,1,markdown
1,1,1,1,2,0,0,0,0,1,1,0,20,1,html
1,1,1,2,2,0,1,1,0,1,1,1,26,1,ruby
1,1,1,74,2,300,848,848,1,1,1,848,24,1,python
1,1,2,0,1,0,0,0,0,1,1,0,12,1,go
1,1,2,0,1,0,1,1,0,1,1,1,22,1,c++
1,1,2,0,1,0,4,4,0,1,1,4,24,1,javascript
1,1,2,1,1,7,0,0,0,1,1,0,39,1,javascript
1,1,2,2,1,4,299,299,0,0,1,299,51,1,c#
1,1,2,2,1,19,31,31,0,0,0,31,59,0,php
1,1,2,2,1,20,31,31,0,0,0,31,59,0,php
1,1,2,2,1,182,118,118,1,1,1,118,15,1,python
1,1,2,2,1,9843,10806,10806,0,0,1,10806,68,1,nix
1,1,2,2,2,0,0,0,0,1,1,0,27,1,javascript
1,1,2,2,2,10,0,0,0,1,1,0,31,0,python
1,1,2,2,4,46,0,0,0,1,1,0,18,1,html
